lead_id,name,title,company,company_type,company_hq,person_location,scientific_focus,recent_publication,funding_status,email,linkedin_url
1,Dr. Emily Carter,Director of Toxicology,Vertex Pharmaceuticals,Big Pharma,Cambridge MA,Boston MA,Drug-Induced Liver Injury,Yes,Public,emily.carter@vertex.com,https://linkedin.com/in/emilycarter
2,Dr. Michael Chen,Head of Preclinical Safety,Moderna,Big Pharma,Cambridge MA,Remote - California,3D Cell Culture,Yes,Public,michael.chen@moderna.com,https://linkedin.com/in/michaelchen
3,Dr. Sarah Williams,Principal Scientist Safety Assessment,Alnylam Pharmaceuticals,Big Pharma,Cambridge MA,Cambridge MA,Organ-on-chip,No,Public,sarah.williams@alnylam.com,https://linkedin.com/in/sarahwilliams
4,Dr. Daniel Fischer,Director Investigative Toxicology,BlueRock Therapeutics,Series B Biotech,Cambridge MA,Boston MA,Hepatic Spheroids,Yes,Series B,daniel.fischer@bluerocktx.com,https://linkedin.com/in/danielfischer
5,Dr. Ananya Rao,Senior Scientist Toxicology,Immuneel Therapeutics,Series A Biotech,Bangalore India,Bangalore India,General Toxicology,No,Series A,ananya.rao@immuneel.com,https://linkedin.com/in/ananyarao
6,Dr. Robert Klein,Associate Director Toxicology,Pfizer,Big Pharma,New York NY,Boston MA,Drug-Induced Liver Injury,Yes,Public,robert.klein@pfizer.com,https://linkedin.com/in/robertklein
7,Dr. Laura Martinez,Head of Safety Assessment,Roche,Big Pharma,Basel Switzerland,Basel Switzerland,Investigative Toxicology,Yes,Public,laura.martinez@roche.com,https://linkedin.com/in/lauramartinez
8,Dr. James O'Connor,Principal Scientist Toxicology,Novartis,Big Pharma,Basel Switzerland,Cambridge MA,3D Cell Culture,No,Public,james.oconnor@novartis.com,https://linkedin.com/in/jamesoconnor
9,Dr. Hannah Lee,Director Preclinical Safety,GSK,Big Pharma,London UK,London UK,Organ-on-chip,Yes,Public,hannah.lee@gsk.com,https://linkedin.com/in/hannahlee
10,Dr. Thomas Weber,VP Preclinical Research,BioNTech,Series B Biotech,Mainz Germany,Basel Switzerland,Hepatic Spheroids,Yes,Series B,thomas.weber@biontech.de,https://linkedin.com/in/thomasweber
11,Dr. Nina Patel,Senior Scientist Toxicology,Recursion Pharmaceuticals,Series B Biotech,Salt Lake City UT,Remote - Texas,3D Cell Culture,No,Series B,nina.patel@recursion.com,https://linkedin.com/in/ninapatel
12,Dr. Kevin Brown,Director Safety Pharmacology,Amgen,Big Pharma,Thousand Oaks CA,San Diego CA,Investigative Toxicology,Yes,Public,kevin.brown@amgen.com,https://linkedin.com/in/kevinbrown
