lead_id,name,title,company,company_type,company_hq,person_location,scientific_focus,recent_publication,funding_status,email,linkedin_url,role_score,scientific_score,publication_score,funding_score,location_score,probability_score,rank
1,Dr. Emily Carter,Director of Toxicology,Vertex Pharmaceuticals,Big Pharma,Cambridge MA,Boston MA,Drug-Induced Liver Injury,Yes,Public,emily.carter@vertex.com,https://linkedin.com/in/emilycarter,30,40,15,20,10,100,1
2,Dr. Michael Chen,Head of Preclinical Safety,Moderna,Big Pharma,Cambridge MA,Remote - California,3D Cell Culture,Yes,Public,michael.chen@moderna.com,https://linkedin.com/in/michaelchen,30,30,15,20,10,100,2
4,Dr. Daniel Fischer,Director Investigative Toxicology,BlueRock Therapeutics,Series B Biotech,Cambridge MA,Boston MA,Hepatic Spheroids,Yes,Series B,daniel.fischer@bluerocktx.com,https://linkedin.com/in/danielfischer,30,30,15,20,10,100,3
6,Dr. Robert Klein,Associate Director Toxicology,Pfizer,Big Pharma,New York NY,Boston MA,Drug-Induced Liver Injury,Yes,Public,robert.klein@pfizer.com,https://linkedin.com/in/robertklein,30,40,15,20,0,100,4
19,Dr. Rachel Green,Director Investigative Toxicology,Insitro,Series B Biotech,South San Francisco CA,San Francisco CA,3D Cell Culture,Yes,Series B,rachel.green@insitro.com,https://linkedin.com/in/rachelgreen,30,30,15,20,10,100,5
16,Dr. Andrew Collins,Director Toxicology,Merck & Co,Big Pharma,Kenilworth NJ,Boston MA,Drug-Induced Liver Injury,Yes,Public,andrew.collins@merck.com,https://linkedin.com/in/andrewcollins,30,40,15,20,0,100,6
14,Dr. Mark Evans,Associate Director Preclinical Safety,Beam Therapeutics,Series B Biotech,Cambridge MA,Cambridge MA,3D Cell Culture,Yes,Series B,mark.evans@beamtx.com,https://linkedin.com/in/markevans,30,30,15,20,10,100,7
9,Dr. Hannah Lee,Director Preclinical Safety,GSK,Big Pharma,London UK,London UK,Organ-on-chip,Yes,Public,hannah.lee@gsk.com,https://linkedin.com/in/hannahlee,30,30,15,20,10,100,8
33,Dr. Jonathan Price,Associate Director Preclinical Safety,Apellis Pharmaceuticals,Series B Biotech,Waltham MA,Boston MA,Drug-Induced Liver Injury,Yes,Series B,jonathan.price@apellis.com,https://linkedin.com/in/jonathanprice,30,40,15,20,0,100,9
36,Dr. Fatima Hassan,Director Preclinical Safety,Cellarity,Series B Biotech,Cambridge MA,Cambridge MA,Organ-on-chip,Yes,Series B,fatima.hassan@cellarity.com,https://linkedin.com/in/fatimahassan,30,30,15,20,10,100,10
39,Dr. Eric Wilson,Director Safety Pharmacology,Blueprint Medicines,Series B Biotech,Cambridge MA,Cambridge MA,3D Cell Culture,Yes,Series B,eric.wilson@blueprintmedicines.com,https://linkedin.com/in/ericwilson,30,30,15,20,10,100,11
29,Dr. Mohammed Al-Sayed,Head of Preclinical Safety,GSK,Big Pharma,London UK,Remote - Dubai,3D Cell Culture,Yes,Public,mohammed.alsayed@gsk.com,https://linkedin.com/in/mohammedalsayed,30,30,15,20,10,100,12
21,Dr. Allison Moore,Associate Director Safety Assessment,Relay Therapeutics,Series B Biotech,Cambridge MA,Remote - New York,Hepatic Spheroids,Yes,Series B,allison.moore@relaytx.com,https://linkedin.com/in/allisonmoore,30,30,15,20,10,100,13
23,Dr. Julia Fischer,Director Toxicology,Bayer,Big Pharma,Leverkusen Germany,Berlin Germany,Drug-Induced Liver Injury,Yes,Public,julia.fischer@bayer.com,https://linkedin.com/in/juliafischer,30,40,15,20,0,100,14
24,Dr. Benjamin Scott,Head of Safety Pharmacology,Vertex Pharmaceuticals,Big Pharma,Cambridge MA,Cambridge MA,3D Cell Culture,Yes,Public,benjamin.scott@vertex.com,https://linkedin.com/in/benjaminscott,30,30,15,20,10,100,15
7,Dr. Laura Martinez,Head of Safety Assessment,Roche,Big Pharma,Basel Switzerland,Basel Switzerland,Investigative Toxicology,Yes,Public,laura.martinez@roche.com,https://linkedin.com/in/lauramartinez,30,20,15,20,10,95,16
38,Dr. Maria Gonzalez,Associate Director Toxicology,Almirall,Big Pharma,Barcelona Spain,Barcelona Spain,Hepatic Spheroids,Yes,Public,maria.gonzalez@almirall.com,https://linkedin.com/in/mariagonzalez,30,30,15,20,0,95,17
15,Dr. Priya Nair,Principal Scientist Investigative Toxicology,AstraZeneca,Big Pharma,Cambridge UK,Cambridge UK,Hepatic Spheroids,Yes,Public,priya.nair@astrazeneca.com,https://linkedin.com/in/priyanair,20,30,15,20,10,95,18
25,Dr. Olivia Turner,Principal Scientist Toxicology,Exscientia,Series B Biotech,Oxford UK,Oxford UK,Organ-on-chip,Yes,Series B,olivia.turner@exscientia.ai,https://linkedin.com/in/oliviaterner,20,30,15,20,10,95,19
35,Dr. David Kim,Principal Scientist Safety Assessment,Genentech,Big Pharma,South San Francisco CA,San Jose CA,3D Cell Culture,Yes,Public,david.kim@gene.com,https://linkedin.com/in/davidkim,20,30,15,20,10,95,20
18,Dr. Peter Johansson,Head of Preclinical Safety,Sobi,Series B Biotech,Stockholm Sweden,Stockholm Sweden,Organ-on-chip,Yes,Series B,peter.johansson@sobi.com,https://linkedin.com/in/peterjohansson,30,30,15,20,0,95,21
10,Dr. Thomas Weber,VP Preclinical Research,BioNTech,Series B Biotech,Mainz Germany,Basel Switzerland,Hepatic Spheroids,Yes,Series B,thomas.weber@biontech.de,https://linkedin.com/in/thomasweber,30,30,15,20,0,95,22
26,Dr. Samuel Reed,Director Preclinical Research,Denali Therapeutics,Series B Biotech,South San Francisco CA,San Francisco CA,Hepatic Spheroids,No,Series B,samuel.reed@denalitherapeutics.com,https://linkedin.com/in/samuelreed,30,30,0,20,10,90,23
13,Dr. Sophie Laurent,Head of Toxicology,Sanofi,Big Pharma,Paris France,Paris France,Drug-Induced Liver Injury,No,Public,sophie.laurent@sanofi.com,https://linkedin.com/in/sophielaurent,30,40,0,20,0,90,24
28,Dr. Yuki Tanaka,Associate Director Toxicology,Takeda,Big Pharma,Tokyo Japan,Tokyo Japan,Drug-Induced Liver Injury,No,Public,yuki.tanaka@takeda.com,https://linkedin.com/in/yukitanaka,30,40,0,20,0,90,25
12,Dr. Kevin Brown,Director Safety Pharmacology,Amgen,Big Pharma,Thousand Oaks CA,San Diego CA,Investigative Toxicology,Yes,Public,kevin.brown@amgen.com,https://linkedin.com/in/kevinbrown,30,20,15,20,0,85,26
30,Dr. Christina Nguyen,Principal Scientist Investigative Toxicology,AbbVie,Big Pharma,North Chicago IL,Chicago IL,Hepatic Spheroids,Yes,Public,christina.nguyen@abbvie.com,https://linkedin.com/in/christinanguyen,20,30,15,20,0,85,27
3,Dr. Sarah Williams,Principal Scientist Safety Assessment,Alnylam Pharmaceuticals,Big Pharma,Cambridge MA,Cambridge MA,Organ-on-chip,No,Public,sarah.williams@alnylam.com,https://linkedin.com/in/sarahwilliams,20,30,0,20,10,80,28
31,Dr. Lucas Meyer,Director Safety Assessment,Evotec,Series B Biotech,Hamburg Germany,Hamburg Germany,Organ-on-chip,No,Series B,lucas.meyer@evotec.com,https://linkedin.com/in/lucasmeyer,30,30,0,20,0,80,29
8,Dr. James O'Connor,Principal Scientist Toxicology,Novartis,Big Pharma,Basel Switzerland,Cambridge MA,3D Cell Culture,No,Public,james.oconnor@novartis.com,https://linkedin.com/in/jamesoconnor,20,30,0,20,10,80,30
20,Dr. Marco Bianchi,Principal Scientist Toxicology,Chiesi Farmaceutici,Big Pharma,Parma Italy,Parma Italy,Drug-Induced Liver Injury,No,Public,marco.bianchi@chiesi.com,https://linkedin.com/in/marcobianchi,20,40,0,20,0,80,31
37,Dr. Steven Park,Senior Scientist Investigative Toxicology,Bristol Myers Squibb,Big Pharma,New York NY,Remote - New Jersey,Drug-Induced Liver Injury,No,Public,steven.park@bms.com,https://linkedin.com/in/stevenpark,10,40,0,20,0,70,32
34,Dr. Isabelle Moreau,Head of Toxicology,Servier,Big Pharma,Suresnes France,Paris France,Investigative Toxicology,No,Public,isabelle.moreau@servier.com,https://linkedin.com/in/isabellemoreau,30,20,0,20,0,70,33
40,Dr. Kavita Mehra,Head of Preclinical Toxicology,Piramal Pharma,Big Pharma,Mumbai India,Mumbai India,Investigative Toxicology,No,Public,kavita.mehra@piramal.com,https://linkedin.com/in/kavitamehra,30,20,0,20,0,70,34
11,Dr. Nina Patel,Senior Scientist Toxicology,Recursion Pharmaceuticals,Series B Biotech,Salt Lake City UT,Remote - Texas,3D Cell Culture,No,Series B,nina.patel@recursion.com,https://linkedin.com/in/ninapatel,10,30,0,20,0,60,35
27,Dr. Caroline Dupont,Senior Scientist Safety Assessment,Institut Pasteur,Research Institute,Paris France,Paris France,Investigative Toxicology,Yes,Grant-funded,caroline.dupont@pasteur.fr,https://linkedin.com/in/carolinedupont,10,20,15,5,0,50,36
32,Dr. Aditi Kulkarni,Senior Scientist Toxicology,Laurus Labs,Big Pharma,Hyderabad India,Hyderabad India,General Toxicology,No,Public,aditi.kulkarni@lauruslabs.com,https://linkedin.com/in/aditikulkarni,10,10,0,20,0,40,37
22,Dr. Vikram Singh,Senior Scientist Preclinical Safety,Biocon,Big Pharma,Bangalore India,Bangalore India,General Toxicology,No,Public,vikram.singh@biocon.com,https://linkedin.com/in/vikramsingh,10,10,0,20,0,40,38
5,Dr. Ananya Rao,Senior Scientist Toxicology,Immuneel Therapeutics,Series A Biotech,Bangalore India,Bangalore India,General Toxicology,No,Series A,ananya.rao@immuneel.com,https://linkedin.com/in/ananyarao,10,10,0,10,0,30,39
17,Dr. Elena Rossi,Senior Scientist Safety Assessment,Dompé Farmaceutici,Series A Biotech,Milan Italy,Milan Italy,General Toxicology,No,Series A,elena.rossi@dompe.com,https://linkedin.com/in/elenarossi,10,10,0,10,0,30,40
